2026-04-03 09:34:54 | ERROR    | smcbot | Failed to fetch bars [SPY 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:34:54 | ERROR    | smcbot | Failed to fetch bars [SPY 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:34:54 | ERROR    | smcbot | Failed to fetch bars [SPY 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:34:54 | ERROR    | smcbot | Failed to fetch bars [SPY 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:34:54 | WARNING  | smcbot | Incomplete data for SPY — skipping.
2026-04-03 09:34:54 | DEBUG    | smcbot | Scanning QQQ...
2026-04-03 09:34:54 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Day]: {"message":"subscription does not permit querying recent SIP data"}

